seat_number,total_rounds,wins,losses,pushes,win_rate,win_rate_ci_lower,win_rate_ci_upper,expected_value,total_profit,chi_square_statistic,chi_square_p_value,is_position_independent
1,100000,32198,67586,216,0.32198,0.3190909843121412,0.3248826922924629,-14.5644,-1456440.0,,,
2,100000,31942,67845,213,0.31942,0.3165371775089108,0.3223166957708297,-16.03875,-1603875.0,,,
3,100000,31919,67866,215,0.31919,0.316307738824053,0.3220861521257193,-15.08055,-1508055.0,,,
4,100000,31961,67841,198,0.31961,0.31672671442373,0.3225071442590278,-15.89635,-1589635.0,,,
5,100000,32055,67725,220,0.32055,0.31766443148031437,0.3234493549857918,-15.39405,-1539405.0,,,
6,100000,32053,67716,231,0.32053,0.3176444799132288,0.3234293080894018,-15.55655,-1555655.0,,,
SUMMARY,600000,192128,406579,1293,,,,,-9253065.0,1.6786725516322454,0.8915756237179546,True
